Hannanum,Kkma,Komoran,Mecab,Twitter
나 / N,나 / NP,나 / NP,나 / NP,나 / Noun
는 / J,는 / JX,는 / JX,는 / JX,는 / Josa
밥 / N,밥 / NNG,밥 / NNG,밥 / NNG,밥 / Noun
을 / J,을 / JKO,을 / JKO,을 / JKO,을 / Josa
먹 / P,먹 / VV,먹 / VV,먹 / VV,먹는 / Verb
는다 / E,는 / EPT,는다 / EC,는다 / EC,다 / Eomi
,다 / EFN,,,
