Twitter	komoran	mecab	kkma	hannanum
잘/Adverb	잘/MAG	잘/MAG	잘/MAG	잘/M,잘/MA
적/Suffix	적/XSN	적/XSN	적/XSN	적/X,적/XS
전/Noun	전/NNG	전/NNG	전/NNG	전/N,전/NC
점/Noun	점/NNG	점/NNG	점/NNG	점/N,점/NC
정도/Noun	정도/NNG	정도/NNG	정도/NNG	정도/N,정도/NC
좀/Adverb	좀/MAG	좀/MAG	좀/MAG	좀/M,좀/MA
좋/Adjective	좋/VA	좋/VA	좋/VA	좋/P,좋/PA
주/Verb	주/VV	주/VV	주/VV	주/P,주/PV
중/Noun	중/NNB	중/NNB,중/NNBC	중/NNB,중/NNM	중/N,중/NB
지금/Noun	지금/NNG	지금/NNG	지금/NNG	지금/N,지금/NC
집/Noun	집/NNG	집/NNG	집/NNG	집/N,집/NC
크/Adjective	크/VA	크/VA	크/VA	크/P,크/PA
통하/Verb	통하/VV	통하/VV	통하/VV	통하/P,통하/PV
하/Verb	하/VV	하/VV	하/VV	하/P,하/PV
하나/Noun	하나/NR	하나/NR	하나/NR	하나/N,하나/NN
한/Determiner	한/MM	한/MM	한/MDN,한/MDT	한/M,한/MM
